"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","respiratory chain complex","GO:0098803","false","0.011736280796758387","1.9304695083140706","87","1320","16","16673","ENSG00000167792,ENSG00000139180,ENSG00000140990,ENSG00000140740,ENSG00000131143,ENSG00000267855,ENSG00000170906,ENSG00000184076,ENSG00000127184,ENSG00000131495,ENSG00000090266,ENSG00000156467,ENSG00000147684,ENSG00000137038,ENSG00000131174,ENSG00000125356"
"GO:CC","RNA polymerase complex","GO:0030880","false","0.011745959769927707","1.9301114909550336","112","1320","19","16673","ENSG00000155229,ENSG00000198056,ENSG00000058600,ENSG00000108773,ENSG00000099821,ENSG00000099817,ENSG00000006712,ENSG00000117877,ENSG00000068654,ENSG00000125630,ENSG00000124201,ENSG00000153767,ENSG00000047315,ENSG00000213780,ENSG00000137413,ENSG00000112118,ENSG00000241258,ENSG00000106290,ENSG00000120533"
"GO:CC","nuclear membrane","GO:0031965","false","0.013991521850459245","1.8541350449570033","232","1320","32","16673","ENSG00000058804,ENSG00000160789,ENSG00000047410,ENSG00000153207,ENSG00000148719,ENSG00000100629,ENSG00000102900,ENSG00000102898,ENSG00000108349,ENSG00000108424,ENSG00000176619,ENSG00000105325,ENSG00000105677,ENSG00000188283,ENSG00000267680,ENSG00000021574,ENSG00000042445,ENSG00000135924,ENSG00000258366,ENSG00000100401,ENSG00000015479,ENSG00000124789,ENSG00000124688,ENSG00000146457,ENSG00000196313,ENSG00000272391,ENSG00000241468,ENSG00000155561,ENSG00000078674,ENSG00000023287,ENSG00000164976,ENSG00000086712"
"GO:CC","cytosolic small ribosomal subunit","GO:0022627","false","0.015214129344469177","1.8177528958665625","43","1320","10","16673","ENSG00000110700,ENSG00000149273,ENSG00000197728,ENSG00000213741,ENSG00000134419,ENSG00000233927,ENSG00000142534,ENSG00000143947,ENSG00000067248,ENSG00000186468"
"GO:CC","cytoskeleton","GO:0005856","false","0.01609375652624008","1.7933425731662813","1806","1320","176","16673","ENSG00000187961,ENSG00000116213,ENSG00000116198,ENSG00000162413,ENSG00000198492,ENSG00000134690,ENSG00000142945,ENSG00000058804,ENSG00000122483,ENSG00000117505,ENSG00000116489,ENSG00000143543,ENSG00000160789,ENSG00000163468,ENSG00000000460,ENSG00000135837,ENSG00000047410,ENSG00000257315,ENSG00000117650,ENSG00000143702,ENSG00000054282,ENSG00000138182,ENSG00000138160,ENSG00000155229,ENSG00000138107,ENSG00000165660,ENSG00000110031,ENSG00000149503,ENSG00000172757,ENSG00000137497,ENSG00000168014,ENSG00000149273,ENSG00000086827,ENSG00000110274,ENSG00000120647,ENSG00000087470,ENSG00000135476,ENSG00000196465,ENSG00000182199,ENSG00000175203,ENSG00000198707,ENSG00000111785,ENSG00000088986,ENSG00000184445,ENSG00000151849,ENSG00000102781,ENSG00000126216,ENSG00000092020,ENSG00000198718,ENSG00000126775,ENSG00000100592,ENSG00000257365,ENSG00000119661,ENSG00000100629,ENSG00000197102,ENSG00000156970,ENSG00000051180,ENSG00000166140,ENSG00000128881,ENSG00000261652,ENSG00000173517,ENSG00000103423,ENSG00000072864,ENSG00000103540,ENSG00000166851,ENSG00000176476,ENSG00000103494,ENSG00000124074,ENSG00000185324,ENSG00000040531,ENSG00000132535,ENSG00000141510,ENSG00000131899,ENSG00000128487,ENSG00000109083,ENSG00000108262,ENSG00000010244,ENSG00000094804,ENSG00000108773,ENSG00000108468,ENSG00000258890,ENSG00000188878,ENSG00000089685,ENSG00000169683,ENSG00000152240,ENSG00000176225,ENSG00000060069,ENSG00000141933,ENSG00000079805,ENSG00000141971,ENSG00000257103,ENSG00000167595,ENSG00000105738,ENSG00000068903,ENSG00000125753,ENSG00000170608,ENSG00000084731,ENSG00000119777,ENSG00000021574,ENSG00000138036,ENSG00000138095,ENSG00000275052,ENSG00000143951,ENSG00000014641,ENSG00000135624,ENSG00000115317,ENSG00000042493,ENSG00000144021,ENSG00000077380,ENSG00000127837,ENSG00000127824,ENSG00000101222,ENSG00000125863,ENSG00000089101,ENSG00000088325,ENSG00000101421,ENSG00000124214,ENSG00000156261,ENSG00000157578,ENSG00000093009,ENSG00000159873,ENSG00000075218,ENSG00000070950,ENSG00000076201,ENSG00000164087,ENSG00000113966,ENSG00000182504,ENSG00000144867,ENSG00000068885,ENSG00000163558,ENSG00000114473,ENSG00000090316,ENSG00000013810,ENSG00000214367,ENSG00000163995,ENSG00000145331,ENSG00000205129,ENSG00000153140,ENSG00000112984,ENSG00000113141,ENSG00000113712,ENSG00000072803,ENSG00000145919,ENSG00000196230,ENSG00000137216,ENSG00000112118,ENSG00000156508,ENSG00000135315,ENSG00000183137,ENSG00000112290,ENSG00000131023,ENSG00000120438,ENSG00000075624,ENSG00000164631,ENSG00000122507,ENSG00000135205,ENSG00000131558,ENSG00000155530,ENSG00000164885,ENSG00000078674,ENSG00000147421,ENSG00000197892,ENSG00000165392,ENSG00000164953,ENSG00000156787,ENSG00000147874,ENSG00000096872,ENSG00000086061,ENSG00000185963,ENSG00000136813,ENSG00000106976,ENSG00000097007,ENSG00000101997,ENSG00000072501,ENSG00000101843,ENSG00000125351"
"GO:CC","site of double-strand break","GO:0035861","false","0.018782522471758843","1.726246082889907","83","1320","15","16673","ENSG00000160789,ENSG00000119906,ENSG00000110107,ENSG00000167986,ENSG00000186280,ENSG00000051180,ENSG00000141499,ENSG00000176563,ENSG00000178951,ENSG00000169621,ENSG00000138375,ENSG00000170364,ENSG00000070950,ENSG00000253251,ENSG00000113522"
"GO:CC","endoplasmic reticulum protein-containing complex","GO:0140534","false","0.018782522471758843","1.726246082889907","117","1320","19","16673","ENSG00000127463,ENSG00000172339,ENSG00000163463,ENSG00000134825,ENSG00000118363,ENSG00000086827,ENSG00000071537,ENSG00000170540,ENSG00000131148,ENSG00000072849,ENSG00000172057,ENSG00000166562,ENSG00000077232,ENSG00000101464,ENSG00000070010,ENSG00000058262,ENSG00000144867,ENSG00000136986,ENSG00000136908"
"GO:CC","cullin-RING ubiquitin ligase complex","GO:0031461","false","0.018782522471758843","1.726246082889907","180","1320","26","16673","ENSG00000162413,ENSG00000142784,ENSG00000214655,ENSG00000166167,ENSG00000167986,ENSG00000111530,ENSG00000156970,ENSG00000099364,ENSG00000109079,ENSG00000141665,ENSG00000105325,ENSG00000130311,ENSG00000153107,ENSG00000115827,ENSG00000100991,ENSG00000113851,ENSG00000145041,ENSG00000163376,ENSG00000114796,ENSG00000145332,ENSG00000145604,ENSG00000072803,ENSG00000124702,ENSG00000112146,ENSG00000154582,ENSG00000176386"
"GO:CC","methyltransferase complex","GO:0034708","false","0.018986494681079116","1.7215552080478462","100","1320","17","16673","ENSG00000143033,ENSG00000182004,ENSG00000133895,ENSG00000167548,ENSG00000111727,ENSG00000100462,ENSG00000125952,ENSG00000120071,ENSG00000101654,ENSG00000272333,ENSG00000105618,ENSG00000100028,ENSG00000145919,ENSG00000008083,ENSG00000146457,ENSG00000106290,ENSG00000105879"
"GO:CC","DNA-directed RNA polymerase complex","GO:0000428","false","0.019739993343861905","1.704652998106328","109","1320","18","16673","ENSG00000155229,ENSG00000198056,ENSG00000058600,ENSG00000108773,ENSG00000099821,ENSG00000099817,ENSG00000006712,ENSG00000117877,ENSG00000068654,ENSG00000125630,ENSG00000153767,ENSG00000047315,ENSG00000213780,ENSG00000137413,ENSG00000112118,ENSG00000241258,ENSG00000106290,ENSG00000120533"
